nbr_step;distortion
1;0.015710509301582354
2;0.010055634373664746
3;-5.659980175104577
4;-2.9756923187940156
5;-1.5226332677836651
6;-0.7578001327770851
7;-0.3669653380237714
8;-0.17304806990123345
9;-0.07952218726221316
10;-0.03559894168734479
11;-0.015375807435201394
12;-0.00621600109550835
13;-0.0021353221524836874
14;-0.0003350728371764866
15;0.0004528409132168454
16;0.0007909687367857465
17;0.0009401268932983653
18;0.0010061651781615444
19;0.0010348865063254387
20;0.0010476514156498862
21;0.001054751585038316
22;0.0010570527004691854
23;0.0010582570336167274
24;0.001059410779300829
25;0.0010600519087570204
26;0.001060420487976499
27;0.0010606361391809482
28;0.0010607635683332894
29;-9.915951360445542e+26
30;-6.014328520329307e+26
31;-3.6478746451638476e+26
32;-2.2125478150802105e+26
33;-1.3419780859263492e+26
34;-8.139508537768154e+25
35;-4.9368614831490484e+25
36;-2.994357852284316e+25
37;-1.8161698435617313e+25
38;-1.1015626933656701e+25
39;-6.681315471218944e+24
40;-4.0524226805066887e+24
41;-2.457918601842154e+24
42;-1.490802991095288e+24
43;-9.04217721690583e+23
44;-5.484357712608366e+23
45;-3.3264311015284304e+23
46;-2.0175824504986833e+23
47;-1.2237256147255947e+23
48;-7.422271044067704e+22
49;-4.501834952924235e+22
50;-2.730500924205919e+22
51;-1.656132526904554e+22
52;-1.004495154114976e+22
53;-6.092571085034876e+21
54;-3.6953311595524144e+21
55;-2.2413316460599522e+21
56;-1.3594363619195727e+21
57;-8.245398334324049e+20
58;-5.001086891311088e+20
59;-3.033312531467102e+20
60;-1.8397970508253286e+20
61;-1.1158933189744604e+20
62;-6.768235109264969e+19
63;-4.105142105912666e+19
64;-2.4898945497132827e+19
65;-1.5101973838525235e+19
66;-9.159810155243438e+18
67;-5.555705696302367e+18
68;-3.3697058411474944e+18
69;-2.0438299068687155e+18
70;-1.2396455017534833e+18
71;-7.518830039883366e+17
72;-4.560400944357622e+17
73;-2.766022993335337e+17
74;-1.6776777509280256e+17
75;-1.0175629930555648e+17
76;-6.171831534771533e+16
77;-3.743405052420147e+16
78;-2.2704899360159744e+16
79;-1.3771217587625984e+16
80;-8352665688468704.0
81;nan
